Date,Open,High,Low,Close,Volume
2018-01-01,408.08091481988475,410.7550694668685,405.0528688854711,406.4489440917969,5431340.0
2018-01-02,407.9040023033556,409.77196471448207,402.30011506997613,404.9349060058594,6112248.0
2018-01-03,404.4629115353578,405.681992868539,400.5696760479657,401.6314697265625,6846552.0
2018-01-04,401.5135905405488,401.5135905405488,397.0304713096574,399.3113708496094,8947614.0
2018-01-05,399.27198046085834,403.6371273713061,395.61471207810956,397.9742431640625,11025976.0
2018-01-08,403.04729299317495,408.5921821099753,401.13999073492084,407.4320983886719,5594690.0
2018-01-09,408.9853809851644,410.91234093883935,404.6202581544522,409.5162658691406,9948236.0
2018-01-10,411.6595737140092,415.2775024501069,406.2523145675234,413.80279541015625,9468634.0
2018-01-11,414.9825512535298,426.0526947732614,414.9825512535298,423.06396484375,16775298.0
2018-01-12,426.99648196415524,427.0357978801231,420.99934063322485,424.10601806640625,18016528.0
2018-01-15,424.7156545927917,429.808290693632,418.85614197939617,425.16790771484375,10649250.0
2018-01-16,425.2072121109386,446.2660486155505,425.2072121109386,441.5666198730469,22646966.0
2018-01-17,442.3531012411883,456.88390965522285,441.6255887235891,453.0693054199219,26154088.0
2018-01-18,450.27725169275004,458.1030406026039,445.2042494744676,453.3052978515625,13204970.0
2018-01-19,450.27725892807007,451.4177087481474,446.737961696321,449.6676940917969,5988278.0
2018-01-22,445.2239337740644,454.9766350153477,445.1649358865489,452.2435302734375,9650214.0
2018-01-23,454.2097054144941,467.18712556919394,454.2097054144941,462.900634765625,15403796.0
2018-01-24,461.9962144131091,480.18426687184063,459.12543233662825,466.322021484375,20604718.0
2018-01-25,464.8276217984714,465.3781886502891,457.06083200953753,462.2321472167969,13548914.0
2018-01-29,458.751776467694,470.4314342541632,458.2208436553113,465.1814880371094,10823002.0
2018-01-30,463.6085828204634,465.2602355224607,457.2378195310733,460.3642272949219,8628312.0
2018-01-31,455.84177777974975,458.77150983775186,449.15643933430306,452.341796875,9213698.0
2018-02-01,449.1761119135046,455.3502479292239,439.8756639744194,450.11993408203125,13005454.0
2018-02-02,446.4430083928212,457.3165253111643,444.41773431864317,449.58905029296875,10244486.0
2018-02-05,448.31090587072214,454.1507357015026,446.6788872703239,447.60302734375,9860220.0
2018-02-06,432.5610387195814,443.7294960181342,430.67344255947864,435.6284484863281,10552078.0
2018-02-07,438.87278326904294,442.33344807379444,433.9767754533042,436.1396789550781,8342056.0
2018-02-08,441.5469904806032,450.8278042873557,439.0891452984766,446.04974365234375,8807244.0
2018-02-09,439.6593150437528,440.5638212086371,434.94025262825636,436.17901611328125,4382690.0
2018-02-12,438.40091665333665,440.68176801302224,431.7155782458428,433.6818542480469,6291972.0
2018-02-14,434.940247707936,439.3840506341715,428.7267963959087,431.6958923339844,8345712.0
2018-02-15,433.76055213529133,444.26044838397473,433.76055213529133,438.2633056640625,7986736.0
2018-02-16,442.41206376678855,448.95977191149325,439.69859350806263,443.61151123046875,9889222.0
2018-02-19,443.7491331323372,446.73786275403137,440.56377593020557,445.0665283203125,6461840.0
2018-02-20,434.05542726678016,452.04685267783805,434.05542726678016,447.1114807128906,7188594.0
2018-02-21,451.26029369803786,452.9906259937837,448.31088001373695,451.2209777832031,13771358.0
2018-02-22,450.49348776976717,457.749026592451,448.48784796076814,456.470947265625,17859974.0
2018-02-23,457.55234468952165,458.53548251652967,450.9653212485681,454.4653015136719,9459828.0
2018-02-26,452.6367810692592,454.2294839925744,446.0890717247711,447.7604064941406,5083608.0
2018-02-27,450.2576143664854,453.67896411092767,442.66781625301655,452.32220458984375,6616026.0
2018-02-28,451.2995727824016,467.7769721549346,449.31366319991,461.1309509277344,17268416.0
2018-03-01,459.9512459854101,459.9512459854101,454.62266713335885,456.470947265625,6579852.0
2018-03-05,456.4709069919601,460.4231403788976,449.5889419931582,454.5636291503906,8101456.0
2018-03-06,457.1788707689813,458.29963853412954,449.7266556195468,452.7743835449219,6689734.0
2018-03-07,454.20980103210815,456.17607722705236,447.5441439331633,449.9233093261719,6370416.0
2018-03-08,451.8501700266916,458.45687578774033,451.8501700266916,454.85858154296875,6093014.0
2018-03-09,457.1002158747296,458.53560709308874,454.42610906162315,457.5131530761719,4220964.0
2018-03-12,462.46809957601994,468.70118468448493,460.79676503248413,466.3023376464844,7676970.0
2018-03-13,464.1198566190252,470.7265644447286,462.1339462820138,465.5356140136719,8581052.0
2018-03-14,464.04118105090043,468.20967697463703,459.75468935379433,464.3558044433594,4429710.0
2018-03-15,464.041153954149,467.34450736291564,460.895112232426,465.0242919921875,6101500.0
2018-03-16,464.82764180556563,464.9849534849678,459.8136380551249,460.85577392578125,17954826.0
2018-03-19,457.74907612972123,464.23778726042605,449.3530867827668,450.9654235839844,7526620.0
2018-03-20,451.692943402996,460.1086148481854,451.692943402996,457.96539306640625,8553766.0
2018-03-21,460.10859578886175,462.27149944427947,457.0411859483548,459.1254577636719,7692994.0
2018-03-22,457.9457144261182,463.03835044259534,454.32778551921416,456.68731689453125,6813168.0
2018-03-23,451.0637168414066,461.602975460365,449.2350705505519,459.1647644042969,12008084.0
2018-03-26,458.8894460334152,458.8894460334152,449.88389346022234,454.3080139160156,8930722.0
2018-03-27,456.1759983109023,456.6872492350599,452.28276251746496,453.81646728515625,3802088.0
2018-03-28,452.53834725777546,452.53834725777546,442.90359643629773,445.086181640625,12558322.0
2018-04-02,448.70420855145915,452.0665599033436,440.9570998756672,447.190185546875,8072702.0
2018-04-03,446.2266974303242,449.70704467543135,443.6312224716868,448.4879150390625,4077168.0
2018-04-04,449.88400735505695,450.100316945125,440.4458813266292,442.0975341796875,4813302.0
2018-04-05,448.133987659683,452.75473631430873,444.0244419682295,451.280029296875,7763544.0
2018-04-06,449.490722520857,450.6704881967648,441.2716787110753,443.1986389160156,5937742.0
2018-04-09,442.412142329865,442.72676572188215,435.15660239757113,437.0048828125,7202882.0
2018-04-10,437.29980540453306,442.2154956631272,434.7043305489529,437.8503723144531,8926058.0
2018-04-11,439.6592816434915,444.9682264576124,439.06939888636697,442.11712646484375,9025574.0
2018-04-12,444.16206683550354,461.1900362126535,442.41210039585184,457.198486328125,17044366.0
2018-04-13,461.6816530745839,466.36140004486697,452.3418410979899,460.6788330078125,21227038.0
2018-04-16,433.3672365723189,448.3109343851575,433.3672365723189,445.63677978515625,24745084.0
2018-04-17,443.1986623362732,443.35597403566476,438.4795993832694,442.49078369140625,10397940.0
2018-04-18,441.5666239583567,446.2463707809877,438.0273268999483,442.78570556640625,10430380.0
2018-04-19,442.0188768539661,448.23232866646225,441.6649375473424,445.4991760253906,8525542.0
2018-04-20,447.91756288830317,469.4285978479304,447.11137072421553,463.43145751953125,24272692.0
2018-04-23,459.32201506366425,477.569063619204,454.30801190265254,467.0691223144531,21830638.0
2018-04-24,466.0074686518785,470.4905880778422,452.28285090243884,454.01318359375,8526216.0
2018-04-25,453.0299883636855,460.50183713010045,450.35583381379143,456.31365966796875,11594178.0
2018-04-26,461.68159403321073,464.6900058440092,456.1760213616052,462.6450500488281,11302084.0
2018-04-27,464.04109089583255,468.60284117147955,461.7601917556188,466.08599853515625,7663370.0
2018-04-30,464.70972342104676,475.03267403783,464.296834199251,471.7096862792969,5511678.0
2018-05-02,471.4736978665038,472.5354677698659,464.43441975278176,470.7461853027344,10295042.0
2018-05-03,470.8247156243387,473.75444721081874,462.5073598254673,465.04388427734375,5332230.0
2018-05-04,466.00741373470544,466.4006689361693,454.2097576907888,461.3276672363281,6023368.0
2018-05-07,464.5327201256385,467.97370323768024,462.27150265201107,465.2209167480469,4638960.0
2018-05-08,463.2153349622356,463.2153349622356,456.58899408154144,458.358642578125,5718556.0
2018-05-09,459.12545264136725,462.8220611757967,457.35580421576884,460.38385009765625,3783504.0
2018-05-10,462.46818563382925,465.2209724530782,457.29686936528157,459.3221435546875,3182862.0
2018-05-11,461.0130724598234,465.2995155714034,458.5552275542003,464.3360595703125,3311706.0
2018-05-14,465.7517832637036,468.56356752500784,460.1085807841034,467.69842529296875,4432094.0
2018-05-15,467.2264453891244,475.05223266393165,467.2264453891244,469.7629699707031,5611974.0
2018-05-16,466.89227061100297,471.1197643225787,465.81081873129756,467.95404052734375,6205004.0
2018-05-17,470.3331204747997,470.9033211931978,461.50456228987093,465.1814880371094,9519598.0
2018-05-18,465.22086767936605,466.61694273948814,461.2883159661001,465.29949951171875,7139660.0
2018-05-21,463.8641949015598,467.344493854663,460.10858850289117,463.8445129394531,8475320.0
2018-05-22,462.07488068274716,471.1197506876009,461.642309544342,469.48773193359375,5636804.0
2018-05-23,469.94003871655264,474.91472738844374,464.6310926724744,465.9681701660156,9538442.0
2018-05-24,471.1197120360328,482.7404219647114,471.1197120360328,480.1645812988281,9740570.0
2018-05-25,483.7432921002342,491.03819647128984,480.0860469369113,483.03546142578125,8901438.0
2018-05-28,484.09714900388155,484.7263477200701,474.26576904848184,477.5691223144531,5739794.0
2018-05-29,477.4316057292763,482.3472968718092,474.3445132879287,478.47369384765625,3388934.0
2018-05-30,478.5915960575629,483.21234482804476,474.10847701120196,476.50732421875,6323066.0
2018-05-31,476.5073057721765,488.4229575124374,475.9371049351267,484.4117736816406,19720340.0
